,D5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,D6,1,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,1,0,0,0,0,0,6,16,20,102,180,157,134,88,41,25,16,7,17,23,129,179,114,59,33,18,16,19,24,37,126,174,101,48,32,7,4,11,16,28,23,20,29,29,97,183,135,63,39,22
,D7,2.000001,6.999999,21.999999,144.999999,159.999999,63,3.999999,0.999999,0,0.999999,6.999999,6,42.999999,183,258.999999,227.000001,111,14.000001,5.000001,3,6,6,8.000001,8.000001,8.000001,8.000001,3.999999,9,9.999999,72,195,119.000001,35.000001,6.999999,6,9,6,15,107.000001,189,104.000001,35.000001,5.000001,12.999999,149.000001,356.000001,204.999999,45.999999,8.000001,9.999999,15,38.000001,176.000001,126,26.000001,9.999999,12,26.000001,15.999999,15.999999,84.999999,198.999999,141,186.999999,114,18.999999,23.000001
,D8,79.999995,1545.00001,2657.999985,2347.999985,2744.999997,2190.999989,977.999997,359.999993,228.000009,114.999987,17.999995,238.999987,504.000015,365.000014,542.000001,523.000008,156.999996,139.000001,80.999993,6.999986,4.99999,1.999996,3.999992,3.999992,8.000015,2.999994,6.999986,2.999994,4.99999,6.999986,6.999986,2.999994,2.999994,3.999992,2.999994,5.999988,4.99999,1.999996,3.999992,14.000003,15.000001,0,3.999992,0,1.999996,6.999986,5.999988,51.999989,140.999997,66.99999,9.000013,3.999992,0,0.999998,2.999994,63.999996,137.000005,59.000006,89.000008,127.999992,125.999996,121.000006,55.000014,94.999996,201.000001,203.999995,226.000013
D5-8,80K-A4V-ALS-PD,20.749999,388.0000023,669.999996,623.249996,726.249999,563.4999973,245.499999,90.249998,57.50000225,29.2499965,6.2499985,61.49999675,136.7500035,137.7500035,200.5,187.5000023,66.999999,38.5000005,21.4999985,2.4999965,2.7499975,2.249999,4.74999825,4.49999825,8.000004,7.74999875,28.24999625,47.9999985,42.99999725,53.4999965,72.7499965,40.74999875,15.74999875,6.74999775,3.9999985,7.999997,8.4999975,36.499999,72.49999825,79.25000075,44.5000005,17.00000025,6.74999825,7.24999975,42.49999925,96.74999675,61.99999675,55.999997,80.7499995,44.49999725,18.00000325,18.49999825,45.75000025,32.7499995,9.99999875,22.49999875,44.50000125,27.00000175,31.25000175,43.24999775,59.99999875,104.2500013,94.7500035,104.2499988,94.50000025,65.4999985,67.7500035
